TradeDate,BaseRate,OpenRate,CloseRate,HighRate,LowRate,MarketValue
07/05/2026,312.96,312.96,312.94,313.28,312.69,
06/05/2026,312.92,312.92,312.96,313.3,312.87,74141606
05/05/2026,312.84,312.7,312.92,313.19,312.58,74131662
04/05/2026,312.62,312.56,312.84,313.08,312.56,74111774
01/05/2026,312.41,312.35,312.62,312.62,312.35,74058465
30/04/2026,312.05,311.9,312.41,312.51,311.9,74008416
29/04/2026,311.79,311.61,312.05,312.06,311.59,73076594
28/04/2026,311.82,311.83,311.79,312.1,311.69,70363263
27/04/2026,311.52,311.42,311.82,312.08,310.41,70370362
24/04/2026,311.33,311.27,311.52,311.55,311.27,70303198
23/04/2026,311.09,311.06,311.33,311.39,310.94,70260832
20/04/2026,311.13,311.1,311.09,311.31,310.2,70206427
17/04/2026,310.8,310.8,311.13,311.34,310.8,70216176
16/04/2026,310.55,310.28,310.8,310.98,310.27,70139623
15/04/2026,310.47,310.28,310.55,310.81,310.11,70084499
14/04/2026,310.19,310.17,310.47,310.54,310.1,70066440
13/04/2026,309.92,309.46,310.19,310.36,309.46,70003005
10/04/2026,309.88,309.9,309.92,310.08,309.88,69942221
09/04/2026,309.61,309.54,309.88,310.04,309.54,69933192
06/04/2026,309.42,309.4,309.61,309.77,309.19,69872407
03/04/2026,308.91,309.0,309.42,309.56,309.0,69828471
31/03/2026,308.84,308.99,308.91,309.23,308.88,69714361
30/03/2026,308.91,308.84,308.84,309.09,308.62,69697513
27/03/2026,309.3,309.24,308.91,309.26,308.79,69714132
26/03/2026,309.48,309.35,309.3,309.5,309.15,69801285
25/03/2026,309.55,309.16,309.48,309.76,309.16,69843291
24/03/2026,309.75,309.75,309.55,309.88,309.37,69858340
23/03/2026,309.95,309.68,309.75,310.16,309.49,69902996
20/03/2026,310.11,309.99,309.95,310.23,309.9,69948372
19/03/2026,310.2,310.19,310.11,310.29,309.98,69985569
18/03/2026,310.19,309.84,310.2,310.5,309.84,70006147
17/03/2026,310.12,310.04,310.19,310.51,309.97,70003497
